2023-02-03T12:00:00Z,Maritime transport: supporting industry by reducing the administrative burden ,The Commission is taking another important step today towards the implementation of the European Maritime Single Window environment (EMSWe) with the publication of a Delegated Regulation and an Implementing Regulation.,News article,/news-events/news/maritime-transport-supporting-industry-reducing-administrative-burden-2023-02-03_en
2023-02-02T12:00:00Z,Commission tables extension to EU-Ukraine road transport agreement,"The EU has proposed an extension to the temporary road transport agreement signed with Ukraine, which has allowed Ukrainian hauliers to increase their operations on EU roads by around 40%.",News article,/news-events/news/commission-tables-extension-eu-ukraine-road-transport-agreement-2023-02-02_en
2023-02-02T12:00:00Z,Multimodal Passenger Mobility Forum – final report,The Multimodal Passenger Mobility Forum (MPMF) was set up to assist the Commission in the preparation of policy initiatives in the field of sustainable multimodal mobility for passengers.,News article,/news-events/news/multimodal-passenger-mobility-forum-final-report-2023-02-02_en
2023-02-01T12:00:00Z,Public workshop on creating a common European mobility data space (EMDS) ,Stakeholder workshop for the upcoming Communication on creating a common European mobility data space (EMDS).,News article,/news-events/news/public-workshop-creating-common-european-mobility-data-space-emds-2023-02-01_en
2023-01-31T12:00:00Z,Stakeholder conference on mitigating the social impact of the transition to automation and digitalisation in transport,The Commission plans to issue a Recommendation in 2023 on means to mitigate the impact of the transition to automation and digitalisation on the transport workforce.,News article,/news-events/news/stakeholder-conference-mitigating-social-impact-transition-automation-and-digitalisation-transport-2023-01-31_en
2023-01-31T12:00:00Z,Connecting Europe by train: 10 EU pilot services to boost cross-border rail ,The European Commission will support 10 pilot projects to establish new rail services or improve existing ones.,News article,/news-events/news/connecting-europe-train-10-eu-pilot-services-boost-cross-border-rail-2023-01-31_en
2023-01-30T12:00:00Z,CINEA launches a new public dashboard covering all of its projects and programmes,"The European Climate, Infrastructure and Environment Executive Agency (CINEA) has launched its online public dashboard bringing together all the programmes that have been entrusted to it by the European Commission.",News article,https://cinea.ec.europa.eu/news-events/news/cinea-launches-new-public-dashboard-covering-all-its-projects-and-programmes-2023-01-30_en
2023-01-26T12:00:00Z,January Infringements package: key decisions,January Infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_142
2023-01-26T12:00:00Z,New EU rules on dedicated airspace for drones enter into force,"As of today, EU rules establishing a dedicated airspace for drones known as the U-space become applicable, allowing unmanned air service operators to provide a wider range of safe and efficient services.",News article,/news-events/news/new-eu-rules-dedicated-airspace-drones-enter-force-2023-01-26_en
2023-01-25T12:00:00Z,Factsheet: EU solidarity with Ukraine - latest figures,EU solidarity with Ukraine - latest figures on EU-Ukraine Solidarity Lanes and more,News article,https://ec.europa.eu/commission/presscorner/detail/en/FS_22_3862
2022-12-21T12:00:00Z,EU transport infrastructure: speeding-up investment in military mobility ,The Commission is speeding up the financing of 35 military mobility projects to support the transport of troops and equipment along the trans-European transport network (TEN-T).,News article,/news-events/news/eu-transport-infrastructure-speeding-investment-military-mobility-2022-12-21_en
2022-12-20T12:00:00Z,"""Europe for Aviation” teams up for Airspace World","The “Europe for Aviation” partners will come together at Airspace World (formerly World ATM Congress), from 8 to 10 March 2023 in Geneva, Switzerland.",News article,/news-events/news/europe-aviation-teams-airspace-world-2022-12-20_en
2022-12-20T12:00:00Z,New Mobility Patterns Study: insights into passenger mobility and urban logistics,"Results of a broad study on new mobility patterns, unveiling the mobility choices of citizens across the EU, and how the urban logistics sector is developing in 16 cities.",News article,/news-events/news/new-mobility-patterns-study-insights-passenger-mobility-and-urban-logistics-2022-12-20_en
2022-12-19T12:00:00Z,Future Mobility: €40 million EIB loan for Cabify to finance a zero-emission fleet of electric vehicles in Spain,"The EIB is providing the Spanish multi-mobility platform Cabify with a €40 million loan to decarbonise its fleet of vehicles in Spain, by increasing the availability of new electric vehicles and charging infrastructure across the country.",News article,/news-events/news/future-mobility-eu40-million-eib-loan-cabify-finance-zero-emission-fleet-electric-vehicles-spain-2022-12-19_en
2022-12-16T12:00:00Z,New shipping fuel standards to reduce sulphur oxides in the Mediterranean by 80%,"The Commission welcomes the agreement reached by the IMO to step up protection of the Mediterranean, with a considerable tightening of the rules on exhaust gases from ships.",News article,/news-events/news/new-shipping-fuel-standards-reduce-sulphur-oxides-mediterranean-80-2022-12-16_en
2022-12-15T12:00:00Z,Vacancy for one post of Seconded National Expert at the Europe's Rail Joint Undertaking (EU-RAIL),The deadline for applications is 31/01/2023 at 23:59 (Central European Time/ Brussels time),News article,https://rail-research.europa.eu/about-europes-rail/jobs/
